slang,formal
ajeh,saja
ajh,saja
ajha,saja
ajhh,saja
ajibb,ajib
ajj,saja
ajja,saja
ajjh,saja
ajk,ajak
ak,saya
akau,aku
akeh,banyak
akhire,akhirnya
akhirt,akhirat
akhlah,akhlak
akhrt,akhirat
akn,akan
aktifkn,aktifkan
aku,saya
akuh,aku
akuhh,aku
akuu,aku
akuuu,aku
akuuuur,akur
ala2,ala-ala
alaami,alami
alak,kepala
alamii,alami
alamiii,alami
alhamd,alhamdulillah
alhamdlh,alhamdulillah
alhamdulilah,alhamdulillah
alhamdulillaaaaah,alhamdulillah
alissnyaa,alisnya
alkhamdulilah,alhamdulillah
allaahh,allah
allahh,allah
allahhhh,allah
allahhhhhhh,allah
alloh,allah
alm,almarhum
almh,almarhumah
almost,hampir
almt,alamat
aloh,allah
alone,sendiri
alsn,alasan
also,juga
alu,aku
always,selalu
am,sama
ama,sama
amaattt,amat
amad,amat
amatt,amat
amazing,mengagumkan
ambilin,mengambil
ameen,amin
amen,amin
amfun,ampun
amiend,amien
amienn,amien
amiennn,amien
amiennnn,amien
amiien,amien
amiiiiiiiiiiiiiiiiin,amin
amiiiiiiiiiiin,amin
amiiiiiiiiiinnnnnnn,amin
amiiiiin,amin
amiiiiinnn,amin
amiiiiinnnnn,amin
amiiiin,amin
amiiin,amin
amiiinn,amin
amiiinnn,amin
amiiinnnn,amin
amiin,amin
amiinn,amin
amiinnn,amin
amiinnnn,amin
amin2,amin-amin
aminn,amin
aminn2,amin-amin
aminnn,amin
aminnnn,amin
aminnnn2,amin-amin
aminnnnn,amin
amit2,amit-amit
ammiiin,amin
ammin,amin
amohhh,kamu
ampe,sampai
amploppp,amplop
ampunn,ampun
ampunnnn,ampun
ampunnnnn,ampun
ampuun,ampun
ampuunn,ampun
ampuuun,ampun
ampuuunn,ampun
ampyunnnn,ampun
amu,kamu
amuh,kamu
"anak""",anak-anak
anak2,anak-anak
anak2e,anak-anaknya
anak2mu,anak-anakmu
anak2nya,anak-anaknya
anakny,anaknya
anakx,anaknya
anak'y,anaknya
ancen,memang
ancur,hancur
ancurrr,hancur
andaaa,anda
ane,saya
aned,banget
anedh,banget
aneed,banget
aneh2,aneh-aneh
anehhh,aneh
aneut,banget
anget,hangat
anj,anjing
anjaaaayyyyyy,anjay
anjaayy,anjay
anjayyyy,anjay
anjingnyaa,anjingnya
anjirr,anjir
anjirrr,anjir
anjirrrr,anjir
anjjjjjjjj,anjing
ank,anak
"ank""",anak-anak
ank2,anak-anak
ank2nya,anak-anaknya
ankknyaaa,anaknya
anknya,anaknya
ankx,anaknya
annnnjjjjjjrrrr,anjir
anterin,antar
anugrah,anugerah
anyeng,anjing
ap,apa
"apa""",apa-apa
apa2,apa-apa
apa2nya,apa-apanya
apaa,apa
apaaa,apa
apaaan,apaan
apaalahh,apalah
apah,apa
apain,apai
apal,hapal
apalagiii,apalagi
apalai,apalagi
apalg,apalagi
apalgi,apalagi
apasihhh,apasih
ape,apa
apikkkk,apik
aple,apple
aplikasiin,mengaplikasikan
aplks,aplikasi
aplksi,aplikasi
apo,apa
appa,apa
applikasi,aplikasi
aproved,diterima
apun,apapun
apus,hapus
aq,saya
aqoe,saya
aqu,saya
aqw,saya
arab2,arab-arab
arep,mau
arghhh,ah
arived,tiba
article,artikel
artine,artinya
"artis""",artis-artis
artis2,artis-artis
artisnyaa,artisnya
"artist""",artis-artis
artix,artinya
asignment,tugas
asikkk,asik
asliii,asli
asliiii,asli
asliiiii,asli
aslinyo,aslinya
assistance,bantuan
assistant,asisten
astafirullah,astagfirullah
astagaa,astaga
astagaaa,astaga
astagaaaa,astaga
astagaaaaaa,astaga
astagaaaaaaaa,astaga
astagfirrullah,astagfirullah
astagfirullh,astagfirullah
astauviruloh,astagfirullah
astgfrlh,astagfirullah
astgfrullah,astagfirullah
asuuu,asu
asyek,asyik
asyikkkkk,asyik
atassan,atasan
atassss,atas
"ati""",hati-hati
ati2,hati-hati
ato,atau
ats,atas
atu,satu-satu
atuhh,atuh
atuhhh,atuh
atutt,takut
atuu,satu
atw,atau
aurot,aurat
automatic,otomatis
autuhh,tau tuh
awaas,awas
awal2,awal-awal
awk,awak
awl,awal
awoohhh,allah
aya,ada
ayahh,ayah
ayank,sayang
ayoklaa,ayolah
ayoo,ayo
ayooo,ayo
ayoook,ayo
ayoookkkkkk,ayo
ayoooo,ayo
ayooook,ayo
ayuk,ayo
ayukk,yuk
aza,saja
azaab,azab
azeeeek,asik
azekkkk,asik
b,bb
"b\kesinambungn""",berkesinambungan
b2,berdua
b2an,berduaan
b3,bertiga
baaaaaang,bang
baaiikkk,baik
baang,bang
baanget,banget
baanggeettt,banget
babeh,ayah
babget,banget
baca2,baca-baca
bacaaaa,baca
bacahalah,bacalah
bacotin,bacoti
badaaiii,badai
badaii,badai
badingkan,membandingkan
bae2,baik-baik
baek,baik
baek2,baik-baik
bagaatt,banget
bagaimanaaa,bagaimana
bagaimna,bagaimana
baget,banget
bagi2,bagi-bagi
bagiii,bagi
bagiin,bagikan
bagus2,bagus-bagus
bagusnyeee,bagusnya
baguss,bagus
bagusss,bagus
bagussss,bagus
baguusss,bagus
baguuus,bagus
baguuuuus,bagus
bahas2,bahas-bahas
baik2,baik-baik
baik2nya,baik-baiknya
baikk,baik
baikxa,baiknya
baju.a,bajunya
baju2,baju-baju
baju'a,bajunya
bakar2in,bakar-bakari
bakattt,bakat
balasanya,balasannya
bales,balas
bales2in,balas-membalas
balesin,membalas
bandingin,bandingkan
banga,bangga
bangat,banget
bangcat,bangsat
banged,banget
bangedd,banget
bangedt,banget
bangeeeeetttt,banget
bangeeeet,banget
bangeeet,banget
bangeeettt,banget
bangeer,banget
bangeet,banget
bangeett,banget
bangeettt,banget
banger,banget
bangets,banget
bangett,banget
bangettt,banget
bangetttt,banget
bangettttt,banget
bangetttttt,banget
bangettttttt,banget
bangetttttttt,banget
bangetttttyt,banget
bangg,bang
"bangga""in",membangga-banggakan
bangga2in,membangga-banggakan
banggain,banggakan
bangget,banget
banggett,banget
bangke,bangkai
bangkret,bangkrut
bangrt,banget
bangshad,bangsat
bangt,banget
"bangt""",banget-banget
banhet,banget
bante,bantai
bantuanny,bantuannya
bantuim,bantu
banx,bang
banyaaaaaak,banyak
banyaaaak,banyak
banyaak,banyak
banyak2,banyak-banyak
banyakin,membanyaki
bape,bawa perasaan
bapeeeer,bawa perasaan
bapeerr,bawa perasaan
baper,bawa perasaan
baperr,bawa perasaan
baraang,barang
barang2,barang-barang
barengg,bareng
baru2,baru-baru
baruu,baru
basodaraa,bersaudara
bat,banget
batesin,batasi
batikk,batik
batre,baterai
battt,banget
batwc,banget
"bawa""",bawa-bawa
bawa2,bawa-bawa
bawak,bawa
bayangin,bayangkan
bazengg,bajingan
bbrapa,beberapa
bbrp,beberapa
bbrpa,beberapa
bc,baca
bca,baca
bcnda,bercanda
bdampingan,berdampingan
bdan,badan
bdg,bandung
bdn,badan
beach,pantai
bebrp,beberapa
beda2,beda-beda
bedaa,beda
bedaaa,beda
bedain,membedakan
bedainnya,membedakannya
bedanyaaa,bedanya
bedua,berdua
before,sebelum
begete,banget
beginii,begini
beginiiii,begini
bego,bodoh
begok,bego
bejilbbnya,berjilbabnya
"bela""in",membela-bela
bela2in,membela-bela
belain,membela
belanjaa,belanja
beliiin,belikan
beliin,belikan
belike,belikan
bellain,membela
belom,belum
belooomm,belum
beluumm,belum
benahin,membenahi
"benar""",benar-benar
benar2,benar-benar
benarin,membenarkan
benda2,benda-benda
bener,benar
"bener""",benar-benar
bener2,benar-benar
beneraan,benaran
beneran,benaran
benerr,benar
benet,benar
benetaran,benaran
bengi,malam
bengkak2,bengkak-bengkak
benjol,memar
benneeeeeerr,benar
bentarr,bentar
ber2,berdua
beraktifitas,beraktivitas
berangat,berangkat
berani2,berani-berani
berarto,berarti
berati,berarti
beratttttttt,berat
berbakiti,berbakti
berbeda2,berbeda-beda
berbiiiiiihhh,barbie
berenanh,berenang
ber'expresi,berekspresi
berfikir,berpikir
bergunaa,berguna
berhijap,berhijab
berjinah,berzina
berjln,berjalan
berkluarga,berkeluarga
berkmmpuan,berkemampuan
bermaksut,bermaksud
berntung,beruntung
bersaman,bersamaan
bertatto,bertato
bertolernsi,bertoleransi
beruntungnyaaaa,beruntungnya
"besar""",besar-besar
besar2an,besar-besaran
besar2in,besar-besarkan
besarin,membesarkan
besokkk,besok
besook,besok
bet,banget
beter,better
bets,banget
bettt,banget
betul2,betul-betul
betuuuuulllllllllllllllll,betul
between,antara
beud,banget
beudd,banget
beut,banget
bg,bang
bgd,banget
bgect,banget
bget,banget
bgettt,banget
bgi,bagi
bgini,begini
bgitu,begitu
Bgm,bagaimana
bgmana,bagaimana
bgmn,bagaimana
bgmna,bagaimana
bgn,bangun
bgni,begini
bgs,bagus
bgt,banget
bgtt,banget
bgttt,banget
bgtttt,banget
bgttttttt,banget
bgtttttttt,banget
bgtu,begitu
bgtuu,begitu
bgun,bangun
bgus,bagus
bgussss,bagus
bhagaia,bahagia
bhagia,bahagia
bhas,bahas
bhet,banget
bhgia,bahagia
bhgiain,membahagiakan
bhijab,berhijab
bhkn,bahkan
bhn,bahan
bhnya,bahannya
bhs,bahasa
bhw,bahwa
bhwa,bahwa
biarin,biarkan
biasa2,biasa-biasa
biasaa,biasa
biasaaa,biasa
biasaaaa,biasa
biasahhh,biasa
bijak2,bijak-bijak
bijin,bikin
bikinin,bikin
bikinnn,bikin
"bilang""",bilang-bilang
bilang2,bilang-bilang
bilangg,bilang
bilangin,bilang
bilanh,bilang
bilng,bilang
bimbel,bimbingan belajar
binggo,banget
bingiiittttzzzz,banget
bingiiittzz,banget
bingiit,banget
bingiittt,banget
bingit,banget
bingits,banget
bingitss,banget
bingitsss,banget
bingitt,banget
bingittzz,banget
bingitzzzz,banget
bird,biru
biri,biru
birthday,ulang tahun
bis,habis
bisaa,bisa
bisaaa,bisa
bisax,bisanya
biza,bisa
bjln,berjalan
bju,baju
bka,buka
bkal,bakal
bkan,bukan
bkin,bikin
bklan,bakalan
bkln,bakalan
bkn,bukan
blackbery,blackberry
blajar,belajar
blakon,berlakon
bleh,boleh
blg,bilang
blh,boleh
bli,beli
bli2n,beli-belikan
blik,balik
blim,belum
bljr,belajar
blk,balik
blkang,belakang
blkng,belakang
blln,bulan
blm,belum
bln,bulan
blng,bilang
blnja,belanja
bloghhh,goblok
blom,belum
blon,belum
bls,balas
blsanya,balasannya
blum,belum
bm,bbm
bnar,benar
bnda,bunda
bner,benar
"bner""",benar-benar
bner2,benar-benar
bneraan,benaran
bneran,benaran
bnern,benaran
bnerr,benar
bng,bang
bngatt,banget
bngeeeetttt,banget
bngeet,banget
bnget,banget
bngett,banget
bngettt,banget
bngetttt,banget
bnggain,banggakan
bngkit,bangkit
bngt,banget
bngtt,banget
bngttt,banget
bngtttt,banget
bngtzt,banget
bngun,bangun
bngunlah,bangunlah
bngy,banget
bnk,bang
bnr,benar
bnr2,benar-benar
bnran,benaran
bnrn,beneran
bntar,bentar
bntr,sebentar
bntu,bantu
bnuh,bunuh
bnyak,banyak
bnyk,banyak
bobonya,tidurnya
bodhoo,bodoh
bodhooo,bodoh
bodo,bodoh
bokap,ayah
boker,berak
bol3h,boleh
bolang,bocah petualang
bole,boleh
boleh2,boleh-boleh
boong,bohong
bo'ong,bohong
boring,bosan
boro2,boro-boro
bosaan,bosan
bosen,bosan
bosen2,bosan-bosan
bosenin,membosankan
boss,bos
botakin,botaki
botakkkk,botak
bpak,bapak
bpk,bapak
bpkmu,bapakmu
bpknya,bapaknya
br,baru
bradegan,beradegan
brangcut,berangkat
brangkt,berangkat
brangnya,barangnya
brani,berani
branjak,beranjak
brantem,berantem
brapa,berapa
brarti,berarti
brasa,berasa
brayyy,bray
brbakti,berbakti
brbuat,berbuat
brdiri,berdiri
brdua,berdua
brenang,berenang
brengsekk,brengsek
bres,beres
brg,barang
"brg""",bareng-bareng
brhasil,berhasil
brhjb,berhijab
brisi,berisi
brita,berita
britanya,beritanya
brjdh,berjodoh
brjodoh,berjodoh
brkunjun,berkunjung
bronis,brondong manis
brp,berapa
brpa,berapa
brpndapat,berpendapat
brrt,berarti
brrti,berarti
brsama,bersama
brsih,bersih
brsma,bersama
brsyukur,bersyukur
brtngkar,bertengkar
bru,baru
brubah,berubah
brusaha,berusaha
bs,bisa
bsa,bisa
bsar,besar
bsh,basah
bsk,besok
bsok,besok
bsr,besar
bt,buat
bth,butuh
btuh,butuh
btul,betul
btulan,betulan
btw,ngomong ngomong
buanged,banget
buangedh,banget
buanget,banget
buanyaaak,banyak
buatin,buatkan
bujngn,bujangan
bujukk,bujuk
buka2,buka-buka
buka2an,buka-bukaan
bukak,buka
bukan'a,bukannya
bukn,bukan
bukti2,bukti-bukti
buktiin,buktikan
buktin,buktikan
buktinyaaa,buktinya
bulet,bulat
buln,bulan
bund,bunda
bundaa,bunda
bundaaa,bunda
bundaaaa,bunda
bunga2,bunga-bunga
bungggg,bung
bungks,bungkus
bungkusin,bungkuskan
bungkuuussss,bungkus
bungkuuuuuuuuusss,bungkus
burem,buram
buruann,buruan
buruannn,buruan
busedh,buset
buseett,buset
buuun,bun
bw,bawa
bwa,bawa
"bwa""",bawa-bawa
bwah,bawah
bwat,untuk
bwh,bawah
bwt,untuk
byak,banyak
byangin,membayangkan
byar,bayar
byaran,bayaran
byk,banyak
byr,bayar
bz,bisa
c,sih
caaannnttiikkk,cantik
caantiiik,cantik
cabe,cabai
cabe2,cabe-cabe
cabe2an,cabe-cabean
cabol,cabul
cadas,cerdas
cadasss,cadas
cah,bocah
cakeeeeppp,cakep
cakeep,cakep
cakepp,cakep
cali,caci
call,telepon
campurin,mencampuri
can,dapat
canci,cantik
cannnnntikkkkkkk,cantik
cannntikk,cantik
cans,cantik
canteek,cantik
canti,cantik
cantiiiiiiik,cantik
cantiiiik,cantik
cantiiiikk,cantik
cantiiik,cantik
cantiiikk,cantik
cantiiikkk,cantik
cantiiillx,cantik
cantiik,cantik
cantiik2,cantik-cantik
cantiikk,cantik
cantiikkkk,cantik
cantik2,cantik-cantik
cantik2nya,cantik-cantiknya
cantika,cantik
cantikk,cantik
cantikkk,cantik
cantikkkk,cantik
cantikkkkk,cantik
cantikkkkkk,cantik
cantikkkkkkkk,cantik
cantikkkm,cantik
cantiknnnnyaaaaaaa,cantiknya
cantiknyaa,cantiknya
cantiknyaaa,cantiknya
cantiknyaaaaa,cantiknya
cantiks,cantik
cantikx,cantiknya
cantinya,cantiknya
cantip,cantik
cantiq,cantik
cantiqs,cantik
cantix,cantik
cantk,cantik
canttikkk,cantik
canttttikkk,cantik
canyk,cantik
capa,sapa
cape,capek
capee,cape
"car
",mobil
caranga,caranya
career,karir
cari2,cari-cari
cariin,carikan
catiiiiik,cantik
catokin,catok
caution,perhatian
caya,percaya
cb,coba
cba,coba
ccok,cocok
cd,celana dalam
ceemen,cemen
cek2,cek-cek
ceklist,ceklis
cem,macam
Ceman,teman
cemburuu,cemburu
cempreeng,cempreng
cemungudh,semangat
Cemungut,semangat
centillll,centil
centilnyaaaaaa,centilnya
cepet,cepat
cepet2,cepat-cepat
cepetan,cepatan
cerdass,cerdas
cerdiik,cerdik
ceritax,ceritanya
cew,cewek
cewe,cewek
cewer,jewer
check,cek
chelalyyu,selalu
choker2,choker-choker
ciapa,siapa
cibuk,sibuk
ciee,cie
cieee,cie
cieeee,cie
cieeeee,cie
ciieeeeeee,cie
ciiieee,cie
cinggirnyaaaa,cinggirnya
cini,sini
cino,cina
cintaaaaaaa,cinta
cintax,cintanya
cinto,cinta
ciptain,ciptakan
cita2,cita-cita
ciumman,ciuman
cius,serius
ciusan,seriusan
ciusss,serius
ciuuuummmm,cium
ciyeeee,cie
ciyeeeeeee,cie
ciyus,serius
ciyusss,serius
ckp,cukup
ckrng,sekarang
ckup,cukup
clananya,celananya
cm,cuma
cma,cuma
cman,cuman
cmkn,camkan
cmn,cuman
cmpakan,campakkan
cmpakin,campakkan
cmpur,campur
cnd,canda
cnda,canda
cnggih,canggih
cngih,canggih
cnt,cinta
cnta,cinta
cntiiikkk,cantik
cntik,cantik
cntikan,cantikan
cntikk,cantik
cntiknya,cantiknya
cntk,cantik
cntre,tengah
co,cowok
coach,pelatih
coaster,alas
cobaa,coba
cobaaa,coba
cobaaaa,coba
cobain,coba
cobak,coba
coccokk,cocok
cock,cocok
cocokin,cocokkan
cocokk,cocok
cocokkk,cocok
cocokkkk,cocok
cocokkkkk,cocok
cocokny,cocoknya
cocoknyo,cocoknya
cocokx,cocoknya
coconut,kelapa
cocook,cocok
cocookk,cocok
cod,bayar saat pengiriman
coding,mengkode
coeggg,coeg
cogan,cowok ganteng
coklat,cokelat
colecting,mengoleksi
colection,koleksi
colongin,curikan
colonial,kolonial
color,warna
colorful,berwarna-warni
colour,warna
comeback,datang kembali
comedy,komedi
comen,komen
comen2nya,komen-komennya
comendable,patut dihargai
coment,komen
comercial,komersil
comes,datang
comfirm,konfirmasi
Comfort,nyaman
comfortable,menyenangkan
comic,komik
coming,datang
comingson,segera datang
comingsoon,segera datang
commando,prajurit
commendable,patut dihargai
comment,komen
comment2nya,komentar-komentarnya
commentary,uraian
commercial,komersil
community,komunita
communityny,komunitanya
comnet,komen
comntr,komentar
company,perusahaan
competition,persaingan
complain,mengeluh
complete,lengkap
completes,lengkap
compliment,pujian
compose,menyusun
computing,menghitung
comunity,komunita
comunityny,komunitanya
concept,konsep
concert,konser
condition,kondisi
conditioning,mengkondisikan
conect,menghubungkan
conection,koneksi
confident,yakin
configuration,susunan
confirm,konfirmasi
confius,bingung
confuse,bingung
confused,bingung
congralts,(ucapan) selamat
Congrat,(ucapan) selamat
congrate,(ucapan) selamat
congrats,(ucapan) selamat
consept,konsep
consider,mempertimbangkan
consult,berunding
consultants,konsultan
consumer,konsumen
contac,kontak
contact,kontak
content,isi
contest,kontes
contoe,contohnya
contra,kontra
contract,kontrak
control,kontrol
convention,konvensi
Convoy,konvoi
cook,memasak
cooocok,cocok
cooooooocok,cocok
copas,copy paste
copot,lepas
"coret""",coret-coret
corner,sudut
corners,sudut
corola,corolla
correction,koreksi
corridor,koridor
cosmetics,kosmetik
cost,ongkos
costs,ongkos
costum,kostum
could,dapat
council,dewan
countdown,perhitungan detik-detik terakhir
counter,alat perhitungan
country,negara
countryside,daerah pedalaman
couple,pasangan
cousin,sepupu
cow,cowok
cowo,cowok
coxok,cocok
coyyy,coy
cpa,siapa
cpet,cepat
cpit,sipit
cpt,cepat
cr,cara
crazy,gila
cri,cari
critamu,ceritamu
crt,cerita
crtx,ceritanya
cuaaantikk,cantik
cuaantik,cantik
cuantek,cantik
cuanti,cantik
cuantik,cantik
cuantikkk,cantik
cubanget,lucu banget
cuchook,cocok
cuco,cocok
cucok,cocok
cucokkk,cocok
cukop,cukup
cukurrr,cukur
cuman,cuma
cumn,hanya
cums,cuma
curcol,curhat
curhat2,curhat-curhat
cuyy,cuy
cuyyy,cuy
cw,cewek
cwe,cewek
cwek,cewek
cwnya,ceweknya
cwo,cowok
cwok,cowok
cyiiin,cinta
cyin,cinta
cyus,serius
d,ada
d.apa,diapa
d.bikinin,dibikin
da,ada
daaaah,deh
daaah,dah
daah,dah
dah,sudah
dahh,dah
dahhhh,dah
dak,indak
dalan,jalan
dalem2,dalam-dalam
dalil2,dalil-dalil
dallam,dalam
dangerous,bahaya
dapet,dapat
dapetin,mendapati
darpada,daripada
dasaar,dasar
dasarrr,dasar
dasyat,dahsyat
date,tanggal
dateng,datang
datenglah,datanglah
day,hari
dblkang,dibelakang
dblkng,dibelakang
dbls,dibalas
dbnding,dibanding
dbnt,dibantu
dbuat,dibuat
dbwh,dibawah
dcintai,dicintai
ddlm,didalam
ddpat,didapat
ddpt,didapat
dduk,duduk
de,deh
debay,adek bayi
dech,deh
dede,adek
dedek,adek
dedeknya,adeknya
dee,dek
deeek,dek
deeh,deh
defence,pertahanan
defend,membela
deg2an,deg-degan
degdeg,deg-degan
degdegan,deg-degan
degdeg-an,deg-degan
degdegser,deg-degan
dehat,sehat
dehh,deh
dehhh,deh
dehhhh,deh
deket,dekat
deketin,dekati
dekk,dek
dekkk,dek
dekt,dekat
dempga,semoga
dengarin,mendengarkan
dengeeriin,dengarkan
denger,dengar
dengerin,dengarkan
desek2an,desak-desakan
desekan,desakan
deuhh,duh
dewassa,dewasa
dewe,sendiri
dftar,daftar
dg,dengan
dgn,dengan
dgr,dengar
dgrin,dengarkan
dgrn,dengarkan
dh,sudah
dhe,deh
dhi,di
dhpusin,dihapuskan
diaa,dia
diaaa,dia
diajarin,diajari
diakibtkn,diakibatkan
"diam""",diam-diam
diamkn,diamkan
dianter,diantar
dianterin,diantar
diapa2in,diapa-apai
diapain,diapakan
dibangain,dibanggakan
dibanggain,dibanggakan
dibangga'in,dibangga-banggakan
dibiarin,dibiarkan
dibikin2,dibikin-bikin
dibkatakan,dikatakan
dibls,dibalas
dibnggain,dibanggakan
didapet,didapat
didatengin,didatangi
didengerin,didengarkan
dieee,dia
diem,diam
diemin,diamkan
diemm,diam
difotoin,difoto
digabtikan,digantikan
digambarin,digambarkan
digangu,diganggu
diginiin,dibeginikan
diginikan,dibeginikan
digituin,dibegitukan
dihargain,dihargai
dihh,dih
dihpus,dihapus
dii,di
diihhhh,dih
diindonesis,diindonesia
diingetin,diingatkan
diizinin,diberi izin
dijadiin,dijadikan
dijelekin,dijelekkan
dijkt,dijakarta
dijwb,dijawab
dikasi,dikasih
dikasinya,dikasihnya
dikata2in,dikata-katai
dikatain,dikatai
dikemanain,dikemanakan
dikerasin,dikerasi
dikit,sedikit
dikls,di kelas
diksi,dikasih
diladenin,diladeni
dilepas2,dilepas-lepas
diliat,dilihat
diliatnya,dilihatnya
dilindungin,dilindungi
diluangin,diluangkan
diluarann,diluaran
diluk,sebentar
"dimana""",dimana-mana
dimana2,dimana-mana
dimao,dimau
dimarahin,dimarahi
dimasukin,dimasuki
dimkn,dimakan
dimksd,dimaksud
dimn2,dimana-mana
dimna,dimana
dimusiumin,dimuseumkan
dinamakn,dinamakan
"dingin""",dingin-dingin
dinstal,diinstall
dinyanyiin,dinyanyikan
dipake,dipakai
dipangilnya,dipanggilnya
dipermainin,dipermainkan
dipikirin,dipikirkan
dipke,dipakai
dipojokin,dipojokkan
dipuja2,dipuja-puja
diputusin,diputuskan
dirimuuu,dirimu
dirmh,dirumah
dirumahny,dirumahnya
disawat,dilempar
disblah,disebelah
discon,diskon
discont,diskon
discount,diskon
disebrang,diseberang
disebuah,disebuah
disekolah,di sekolah
disekolahan,di sekolahan
disekolahin,disekolahkan
diselengarakan,diselenggarakan
diselimutin,diselimuti
disenayan,di senayan
disenen,di senen
disentul,di sentul
diservice,diservis
dishub,Dinas Perhubungan
dishubkominfo,Dinas Perhubungan Komunikasi dan Informatika
disi,diisi
disia2in,disia-siakan
disimpen,disimpan
disimpng,disimpang
disinih,disini
disiniii,disini
disklh,di sekolah
diskonnye,diskonnya
diskony,diskonnya
diskonya,diskonnya
Diskonye,diskonnya
disni,disini
disono,disana
disonoh,disana
distribution,distribusi
district,daerah
distroy,hancur
disturb,ganggu
disupirin,disopiri
disurga,di surga
disurh,disuruh
disuru,disuruh
ditabra,ditabrak
ditaktir,ditraktir
ditaman,di taman
ditambahin,ditambahkan
ditanah,di tanah
ditangepin,ditanggapin
ditanggepin,ditanggapin
ditangkep,ditangkap
ditangkepinnya,ditangkapinnya
ditangkepinya,ditangkapinnya
ditangung,ditanggung
ditaro,ditaruh
ditarok,ditaruh
ditayangin,ditayangkan
ditelen,ditelan
ditemeni,ditemani
ditemenin,ditemani
ditengah2,ditengah-tengah
diteraktir,ditraktir
ditingal,ditinggal
ditingali,ditinggali
ditingikan,ditinggikan
ditkarkan,ditukarkan
ditlp,ditelepon
ditmpt,di tempat
ditngah,ditengah
ditngguin,ditungguin
ditnguin,ditunggu
ditnjkn,ditunjukkan
ditoko,di toko
ditrakter,ditraktir
ditrotoar,di trotoar
ditugu,di tugu
dituker,ditukar
ditukoke,dibelikan
ditukokno,dibelikan
ditumbasne,dibelikan
ditumpaki,dinaiki
diTunas,di tunas
ditunggu2,ditunggu-tunggu
ditungu,ditunggu
ditungu2,ditunggu-tunggu
ditunguin,ditunggu
ditunjukan,ditunjukkan
ditunjukin,ditunjukkan
diturunkn,diturunkan
ditutupin,ditutupi
dituutup,ditutup
diurusin,diurusi
diwarnet,di warnet
diweekend,di akhir pekan
diwolak,dibalik
djagain,dijaga
djemput,dijemput
dJkt,di Jakarta
djln,di jalan
dkasih,dikasih
dkat,dekat
dkatkan,dekatkan
dket,dekat
dket2in,dekat-dekati
dketan,dekat
dkit,sedikit
dkk,dan kawan-kawan
dklinikk,di klinik
dkluarin,dikeluarkan
dkmps,di kampus
dkomplain,dikomplain
dksh,dikasih
dkt,dekat
dkuburnya,dikuburnya
dkung,dukung
dl,dulu
dlakukan,dilakukan
dlakukn,dilakukan
dlam,dalam
dlanjutin,dilanjutkan
dliat,dilihat
dliburkan,diliburkan
dll,dan lain-lain
dlm,dalam
dlnjutin,dilanjutkan
dlu,dulu
dluan,duluan
dluar,diluar
dmainkan,dimainkan
dmakan,dimakan
dmam,demam
dmamX,demamnya
dman,dimana
dmana,dimana
dminta,diminta
dmn,dimana
dmna,dimana
dmna2,dimana-mana
dmnanya,dimananya
dmnnya,dimananya
dmno,dimana
dmnt,diminta
dmnya,dimananya
dmobil,di mobil
dmonas,di monas
dmtr,di motor
dn,dan
dng,dengan
dngan,dengan
dnger,dengar
dnger2,denga-dengar
dngerin,dengarkan
dnggo,dipakai
dngin,dingin
dnginan,dinginan
dngn,dengan
dnk,dong
do,di
doa2,doa-doa
doaang,doang
doain,doakan
doane,doanya
doang,saja
doangam,doang
doank,saja
